Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
IT Engineer (Thành thạo Tiếng Trung),software engineer,Any Level,N/A,Navigos Search's Client,Hưng yên,$1500.00-1600.00,"IT System Administration, IT Hardware, IT Administration, Tiếng Trung, Chinese",Vietnamworks,
DevOps Engineer (Atlassian Tools),DevOps engineer,Any Level,N/A,"Renesas Design Vietnam Co., Ltd.",Hồ Chí Minh,Negotiable,"Git, SVN, Linux, DevOps",Vietnamworks,
Front-End & Mobile Developer/software Engineer,frontend developer,Any Level,N/A,Manulife (Việt Nam),Hồ Chí Minh,Negotiable,"AngularJS, React Native",Vietnamworks,
Java Android Software Engineer (Relocation Bonus - Hybrid Working - Salary Up to 2500$),mobile developer,Any Level,N/A,LG Electronics Development Vietnam Company Limited,Hà nội,$800.00-2500.00,"Java, Java Spring Framework, Software Engineering, Automotive",Vietnamworks,
Full Stack Software Engineer,full stack developer,Intermediate,3,Công Ty TNHH HaskoningDHV Việt Nam,"Hà nội, Hồ Chí Minh",Negotiable,"Java, Typescript, Azure, VueJS, Full Stack Development",Vietnamworks,
Process Quality Assurance - Lương Thưởng Hấp Dẫn,QA engineer,Intermediate,3,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),Hà Nội,$1500.00,"Công Nghệ Thông Tin, Đánh Giá Chất Lượng, QA, Agile Scrum, Tiếng Anh",Vietnamworks,
Quality Inspector/ Senior Quality Inspector,IT professional,Senior,2,Sharkninja Vietnam,Hồ Chí Minh,Negotiable,"Data Analysis, English, independent work, MS Office, Quality Inspection",Vietnamworks,
MIS Data Analyst,data analyst,Intermediate,3,"Vietnam Intersnack Cashew Co., Ltd",Hồ Chí Minh,Negotiable,"Analytical Skills, Data Modeling, MS Office, Power BI, Sales Reporting",Vietnamworks,
"Senior Full Stack Developer (NodeJS, SQL, JavaScript)",full stack developer,Senior,4,Công Ty TNHH HDS Dịch Vụ Việt Nam,Hồ Chí Minh,Negotiable,"Full Stack Development, NodeJS, RESTful API, SQL, JavaScript",Vietnamworks,
React Native Developer,software developer,Senior,5,Pronto Pilates Pty Ltd,Australia,Negotiable,"CSS, HTML, JavaScript, React Native, Team Work",Vietnamworks,
Vehicle Tester_Automotive Domain (Tester),QA engineer,Junior,2,Luxoft Vietnam,Hồ Chí Minh,Negotiable,"Vehicle Testing, Automotive, CANoe, CANoe, CANoe, Debug, Test Cases",Vietnamworks,
STA Engineer,software engineer,Junior,2,FPT IS,Hà Nội,$2500.00,"Điện Tử, Verilog, Thiết Kế Vi Mạch Điện Tử, Physical Design, Semiconductor",Vietnamworks,
Physical Design Engineer (Hybrid Working),software engineer,Intermediate,3,Navigos Search,"Hà nội, Hồ Chí Minh",$2040.82-2857.14,"Physical Design, RTL Development, Floorplan, English: Intermediate Level, Semiconductor Process",Vietnamworks,
Head of IT Department,IT professional,Senior,5,Public Bank Securities Vietnam Company Limited (PBSV),N/A,Negotiable,"Information Security, Trading Platforms, Computer Science, Fintech, Leadership",Vietnamworks,
Mobile Developer (Tiếng Nhật N1~N4),mobile developer,Any Level,N/A,Công Ty TNHH GMO-Z.com Financial System VN,Hà Nội,$1000.00-3000.00,"Tiếng Nhật N4, Unit Testing, Android, Mobile App Development, Kotlin",Vietnamworks,
Senior Solution Architect (.NET Core; React; Node.js),solutions architect,Senior,5,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Hà Nội,Negotiable,"AWS Cloud services, .NET Core, HTML5, DevOps, Leadership",Vietnamworks,
IT Software Engineer,software engineer,Any Level,N/A,Công Ty TNHH Framas Korea Vina,Đồng Nai,Negotiable,"Software Engineering, .Net, SQL, Oracle, Software Development",Vietnamworks,
4G/5G RAN Engineer,software engineer,Any Level,N/A,Công Ty TNHH Công Nghệ Huawei Việt Nam,Hà nội,Negotiable,"Wireless Network, Telecommunications, Computer Science, RAN System, OS System",Vietnamworks,
Product Operations Specialist - Agi,data scientist,Junior,2,Trusting Social,Hồ Chí Minh,Negotiable,"Product Operation, Product Development, Project management skills, Quality Process Improvement",Vietnamworks,
Senior Business Intelligence,data analyst,Senior,4,Navigos Search's Client,Hà nội,$2000.00-2500.00,"Business Intelligence, Data Analysis, Machine Learning, Team Management",Vietnamworks,
Chuyên Viên Chính Phân Tích và Chiến Lược Thu Hồi Nợ - Trung Tâm Fico,data engineer,Junior,2,Ngân Hàng TMCP Tiên Phong (Tpbank),Hồ Chí Minh,$900.00,"Phân Tích Dữ Liệu, Quản Lý Dữ Liệu, Big Data, Data Warehouse Systems, Data Lake",Vietnamworks,
Giám Đốc Công Nghệ Thông Tin Tập Đoàn Thành Viên,data scientist,Intermediate,4,Công Ty Cổ Phần Tập Đoàn Trường Hải (Thaco),Hồ Chí Minh,Negotiable,"AI/ML, CIO, CTO, ERP Implementation, Leadership",Vietnamworks,
Chuyên Viên Lập Trình & Phát Triển Bitrix24 CRM (Bitrix24 Specialist),IT professional,Intermediate,3,Công Ty TNHH MTV Cho Thuê Tài Chính Ngân Hàng Sài Gòn Thương Tín,Hồ Chí Minh,Negotiable,"Bitrix24, Apache Webserver, Nginx, PHP, Kỹ Thuật",Vietnamworks,
Cybersecurity Audit Manager,IT professional,Senior,5,Navigos Search,"Hà nội, Hồ Chí Minh",$2500.00-3000.00,"Vulnerability Scanning, Penetration Testing, Network Security, IT Auditing, Communication Skills",Vietnamworks,
Automotive Test Engineer (Manual),software engineer,Junior,1,LG Electronics Development Vietnam Company Limited,Hà Nội,$600.00-1500.00,"Software Programming, Software Testing, Test Cases, Automation Test Script, Automotive Engineering",Vietnamworks,
Devops Engineer,DevOps engineer,Any Level,N/A,GSM,Hà Nội,$1000.00-3000.00,"Software Development, Software Architecture Design, DevOps, Cloud AWS, Cloud",Vietnamworks,
Senior Data Governance - Hà Nội - Ta139,data engineer,Senior,3,VPBank - Https://tuyendung.vpbank.com.vn/,Hà Nội,Negotiable,"Databases, ngân hàng, Quản Trị Dữ Liệu, SQL, Tài Chính",Vietnamworks,
SAP MM Specialist,SAP consultant,Any Level,N/A,Vinfast Trading And Production JSC,Hà nội,Negotiable,"SAP S/4HANA, SAP PP, SAP Material Management, SAP Master Data, SAP ECC 6.0",Vietnamworks,
Pre-sale Engineer,software engineer,Junior,1,CÔNG TY CP ĐẦU TƯ CÔNG CÔNG NGHỆ VÀ GIẢI PHÁP TMC VIỆT NAM,N/A,$612.24-1020.41,"Giải Pháp Bảo Mật, Bán Hàng Kỹ Thuật, Kinh Doanh, Physical Security, Tư Vấn",Vietnamworks,
IT Engineer,software engineer,Intermediate,3,Công ty TNHH BIGL Việt Nam,Thái Nguyên,$800.00-1500.00,"Technical Support, Systems Engineering, Database Administration, Software Development, Problem-solving",Vietnamworks,
Web Developer,software developer,Any Level,N/A,Công Ty Cổ Phần Thế Giới Công Nghệ Phần Mềm,Hồ Chí Minh,$500.00-1000.00,"MySQL, JavaScript, C#, ASP.NET, .NET",Vietnamworks,
Senior Automation Tester,QA engineer,Senior,3,FPT Software,"Hồ Chí Minh, Hà Nội, Đà Nẵng",Negotiable,"Agile, Automation Testing, SQL, Unit Testing, API Testing",Vietnamworks,
.NET Developer Fulltime Remote,software developer,Junior,2,Soda Digital,Australia,$1000.00-2000.00,".Net Core, MS SQL, Entity Framework, Umbraco, JavaScript",Vietnamworks,
[HCM] Business Analyst - Delivery,business analyst,Intermediate,3,Pizza 4P's,Hồ Chí Minh,Negotiable,"English fluency, Analytical Skills, F&B Business, Communication English",Vietnamworks,
CVCC Kiểm Định Mô Hình - Model Validation Senior Specialist - Khối Dữ Liệu (Ho24.302),business intelligence analyst,Senior,1,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Negotiable,"SQL, Data Visualization, Khoa Học Dữ Liệu, Power BI, Thu Thập Dữ Liệu",Vietnamworks,
IT Service Desk,IT professional,Junior,1,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,Negotiable,"IT Helpdesk, IT Support, File Server, LAN",Vietnamworks,
System Engineer,systems engineer,Intermediate,3,"Wide Viet Nam CO., LTD.",Hồ Chí Minh,Negotiable,"Azure, Fortigate Firewall, Microsoft Office 365, Quản Trị Hạ Tầng Cisco, Veeam Backup",Vietnamworks,
Senior Project Manager (Tech & Non Tech),project manager,Senior,4,"Neyu Ltd.,",Hồ Chí Minh,Negotiable,"Project Management, Business Development, Call Center Management, Pmp Certification, Call Center System",Vietnamworks,
UI/UX Designer,UX/UI designer,Intermediate,3,Công Ty Cổ Phần Chứng Khoán SSI,Hà Nội,Negotiable,"UI/UX, Figma, UX Research, Mobile App, Thiết Kế Website",Vietnamworks,
IC TEST Development Engineer,software engineer,Senior,5,Công Ty TNHH Qorvo Việt Nam,Hà nội,Negotiable,"PCB Layout Design, I2C, C/C++ Programming, Hardware Testing, Debug",Vietnamworks,
SAP FICO Specialist,SAP consultant,Any Level,N/A,Công Ty Trách Nhiệm Hữu Hạn Sản Xuất Và Kinh Doanh Vinfast - Thành Viên Của Vingroup,Hà Nội,Negotiable,SAP,Vietnamworks,
Chuyên Viên Kiểm Soát Số Liệu Tài Chính - Financial Data Controller - Khối Tài Chính Kế Toán (Ho24.321),data engineer,Junior,2,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Negotiable,"Big Data, Data Engineer, Data Lake, Open Source Framework, Spark",Vietnamworks,
Chuyên Viên Phân Tích Nghiệp Vụ,data scientist,Senior,5,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",Hà Nội,$850.34-1700.68,"ERP, Business Analysis, Công Nghệ Thông Tin, Triển Khai Hệ Thống, Phân Tích Nghiệp Vụ",Vietnamworks,
[Hải Phòng] Chuyên viên hạ tầng CNTT,embedded systems engineer,Junior,1,VINFAST TRADING AND PRODUCTION JSC,Hà nội,Negotiable,"An Ninh Mạng, Công Nghệ Thông Tin, Dịch Vụ Viễn Thông, Giao Tiếp, Điện Tử Viễn Thông",Vietnamworks,
Chuyên Viên IT,IT professional,Senior,5,Công Ty Cổ Phần Quản Lý Đầu Tư ACD,Hà Nội,Negotiable,"Hardware Support, Hardware Maintenance, Kiểm Tra Phần Cứng, Cài Đặt Phần Mềm, Công Nghệ Thông Tin",Vietnamworks,
Embedded Software Engineer (Automotive),software engineer,Any Level,N/A,Hitachi Digital Services,Hồ Chí Minh,Negotiable,"Embedded Software, Automotive, AUTOSAR, C/C++, MCU Programming",Vietnamworks,
Project Management Office (PMO) Assistant,data scientist,Any Level,N/A,Chi Nhánh Công Ty TNHH KPMG,Hồ Chí Minh,Negotiable,"Problem Solving, Project Management, Oracle, Scrum",Vietnamworks,
Automation Test Engineer,software engineer,Junior,2,Navigos Search,"Hà nội, Hồ Chí Minh",$1000.00-2000.00,"Automated Software Testing, Evaluation Method, Test Design, Python Programming, Troubleshooting",Vietnamworks,
Project Coordinator ITS,IT professional,Intermediate,3,RMIT University Vietnam,Hồ Chí Minh,Negotiable,"Communication, Customer Service, Microsoft Office, Project Coordination, Time Management",Vietnamworks,
IT Japanese Communicator,IT professional,Junior,2,LG Electronics Development Vietnam Company Limited,Hà Nội,$800.00-1200.00,"Japanese N2, Problem Management, Teamwork, TOEIC 700, It Background",Vietnamworks,
"Back-end Developer (Java, SQL, Spring, English,chinese)",backend developer,Junior,1,Công Ty TNHH Clever Creations Tech,Hồ Chí Minh,$500.00-1500.00,"Java, SQL, Java Spring Framework, Chinese Madarin, B2 English",Vietnamworks,
Chuyên Viên Sản Phẩm/ Product Specialist,data scientist,Junior,2,"Transmedic Healthcare Co., LTD",Hồ Chí Minh,Negotiable,"Biomedical Engineering, Electrical Engineering, English, Technical Support, Preventive Maintenance",Vietnamworks,
Web Developer (Tiếng Nhật N1~N4),software developer,Any Level,N/A,Công Ty TNHH Gmo-Z.com Financial System VN,Hà Nội,$1000.00-3000.00,"React, Website Development, Node.js, Tiếng Nhật N4, Unit Testing",Vietnamworks,
Nhân Viên Triển Khai Phần Mềm POS,data scientist,Junior,1,Công Ty Cổ Phần Công Nghệ KAS,Hồ Chí Minh,Negotiable,"POS System, POS Software Testing, Triển Khai Phần Mềm, Đào Tạo Khách Hàng, Hỗ Trợ Kỹ Thuật",Vietnamworks,
Linux System Engineer,systems engineer,Junior,1,Công Ty TNHH Thankslab Việt Nam,Hồ Chí Minh,Negotiable,"Aws, Docker, Docker, Docker, Linux, NodeJS, PHP",Vietnamworks,
[$4000 - $5000] Software Engineering Manager (Front-End),frontend developer,Senior,5,Navigos Search's Client,Hà nội,$4000.00-5000.00,"Angular, Angular, Angular, Front-End, Kotlin, Swift, Swift, Typescript",Vietnamworks,
Chuyên Viên Hỗ Trợ Người Dùng (IT Helpdesk),IT support,Any Level,N/A,Tập Đoàn BRG (BRG Group),Hà Nội,Negotiable,"IT Helpdesk, Công Nghệ Thông Tin, IT Phần Cứng, IT System Administration",Vietnamworks,
Vận Hành Games (Ưu Tiên Tiếng Trung ),game developer,Junior,2,Công Ty TNHH Dịch Vụ Tư Vấn Bát Giới,Hồ Chí Minh,$780.00-1100.00,"Game Research, Game Operation, Vận Hành Game, Mobile Game Development, Technology Development",Vietnamworks,
Release Train Engineer,software engineer,Senior,8,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"Agile Project Management, Scrum Master, Stakeholder Management, Project Management, Lifecycle Management",Vietnamworks,
C/C++ Linux Software Engineer,software engineer,Any Level,N/A,LG Electronics Development Viet Nam Company Limited,"Hà nội, Hà Nội",$1000.00-2500.00,"C/C++, Linux Embedded, Linux, Software Development, Software Engineering",Vietnamworks,
Software Developer,software developer,Intermediate,3,"WANEK FURNITURE CO., LTD.",Hồ Chí Minh,Negotiable,"AS400, English Language Proficiency, ERP System, ERP System, Software Development Lifecycle, Software Development Lifecycle, Software Development Lifecycle, Software Management",Vietnamworks,
IT Support Specialist,IT support,Any Level,N/A,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Hà Nội,Negotiable,"IT System Administration, IT Helpdesk, IT Support, Infrastructure Supervision, Application Support",Vietnamworks,
"Data Analyst (SQL, Power Bi, Database)",data analyst,Junior,2,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),Hồ Chí Minh,Negotiable,"Data analysis, SQL, Power BI, Python",Vietnamworks,
Kỹ Sư Công Nghệ Thông Tin (IT),IT professional,Junior,2,Công Ty TNHH CTCI Việt Nam,Hà Nội,Negotiable,"Quản Trị Mạng Công Ty, Quản Trị Dữ Liệu, Hệ Thống Điện Thoại, Công Nghệ Thông Tin, Quản Trị Hệ Thống",Vietnamworks,
Kỹ Sư Kiểm Thử Sản Xuất,embedded systems engineer,Any Level,N/A,Navigos Search's Client,Hà nội,$800.00-1200.00,"Testing, Electronic Troubleshooting, English, Wireshark, PLC",Vietnamworks,
Business Analyst,business analyst,Intermediate,3,Công Ty Cổ Phần Tập Đoàn Golden Gate,Hà Nội,Negotiable,"Product Development, Business Analysis, Information System, Agile, F&B Business",Vietnamworks,
Senior Business Analyst (Analytics Consultant),business analyst,Senior,2,MiTek Việt Nam,Hồ Chí Minh,Negotiable,"Business Analysis, Data Analytics, Business Analyst, English B2, Consultant",Vietnamworks,
Senior .NET Developer,software developer,Senior,5,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"Web API, Azure, .Net, C#, OOP",Vietnamworks,
QC Tester Automation,QA engineer,Any Level,N/A,MCGAAW,Hồ Chí Minh,Negotiable,"Test Automation Tools, Programning Languages, API Testing, Automation Testing, Software Testing",Vietnamworks,
"IOS Developer (Junior, HCM)",mobile developer,Junior,1,FPT Telecom,Hà Nội,Negotiable,"iOS Development, Material Design, Objective C, Swift, Swift, Web Service",Vietnamworks,
SAP ABAP Performance Architect (Joining Bonus),IT professional,Senior,7,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,Computer Science,Vietnamworks,
"Phân Tích Cường Độ Của Máy Xúc Xây Dựng (Bộ Phận Cabin)(pm: HyperMesh, Radioss)",mobile developer,Junior,1,Công Ty TNHH R Techno Việt Nam,Hồ Chí Minh,Negotiable,"Hypermesh, Radioss, Thiết Kế Máy Xây Dựng, Tiếng Nhật N3, Phân Tích Cường Độ",Vietnamworks,
"Chuyên Viên Chính/chuyên Viên Cao Cấp Phân Tích Dữ Liệu và Quản Trị Hệ Thống (Thành thạo Excel, Sql,powerbi)",data analyst,Intermediate,3,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),Hồ Chí Minh,Negotiable,"SQL, Power BI, Data reporting, Excel",Vietnamworks,
Experienced Automation Tester _ Freelancer (Location: Hà Nội),QA engineer,Intermediate,3,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"Automation Testing, QA, QC, Software Testing, API Testing",Vietnamworks,
Android App Developer,mobile developer,Senior,5,Cathay United Bank,Taiwan,Negotiable,"Agile Development, CI/CD, Clean Architecture, MVVM Architecture, RESTful API",Vietnamworks,
Data Analyst,data analyst,Any Level,N/A,Edge Consulting Engineers,Hồ Chí Minh,Negotiable,Data Analysis,Vietnamworks,
Technical Support Specialist,IT support,Junior,1,CÔNG TY TNHH GETCOURSE VIỆT NAM,N/A,Negotiable,"Technical Support, Troubleshooting, Customer Support, CSS, SaaS",Vietnamworks,
Chuyên Viên Chính Sách Quản Lý Rủi Ro - Công Nghệ Thông Tin,security engineer,Junior,1,Ngân Hàng TNHH Indovina – Hội Sở,Hồ Chí Minh,Negotiable,"IT Security GRC, Risk Compliance, IT Risk Management, IT Governance, IT Operations",Vietnamworks,
Senior Full Stack Engineer Cloud Marketplace,full stack developer,Senior,5,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Java Spring Boot, Restful Apis, Cloud Native Applications, Frontend Frameworks, Sql And No-Sql Databases",Vietnamworks,
Supply Chain Digital BA (Management Level),business analyst,Senior,8,HEINEKEN Vietnam,Hồ Chí Minh,Negotiable,English,Vietnamworks,
Foxconn Tuyển Gấp Kỹ Sư Phát Triển Phần Mềm Hệ Thống,backend developer,Any Level,N/A,Công Ty TNHH Công Nghệ Chính Xác Fuyu,Hồ Chí Minh,$500.00-1000.00,"Lập Trình Backend, API, Systems Development, Database Development, English",Vietnamworks,
Chuyên Viên An Ninh Bảo Mật,data scientist,Junior,1,Công ty Cổ phần Chứng khoán Bảo Việt,Hà Nội,$700.00-1200.00,"An Toàn Thông Tin, Quản Lý Rủi Ro, An Ninh Mạng, CEH, IDS/IPS",Vietnamworks,
Oracle Functional Consultant,database administrator,Intermediate,3,Chi Nhánh Công Ty TNHH KPMG,Hồ Chí Minh,Negotiable,"Analytical Thinking, Financial performance, Oracle Cloud, Order Management, Procurement",Vietnamworks,
Infrastructure Architect/ IT System (Manufacturing) - Open for Junior Level/freshers,IT professional,Intern,1,Unilever Vietnam,Hồ Chí Minh,Negotiable,"Infrastructure, Automation, PLC, Network, Systems Architecture",Vietnamworks,
SAP ABAP Developer,software developer,Intermediate,4,Golden Gate Trade & Service JSC,Hà Nội,Negotiable,"SAP, ABAP, SAP HANA, FICO, API",Vietnamworks,
Senior Full Stack Java Web Developer,full stack developer,Senior,4,Navigos Search's Client,Hà nội,$816.33-1632.65,"Java, Spring, VueJS, Microservices, English Communication",Vietnamworks,
[Hot Job] Chuyên Gia Công Nghệ Thanh Toán,data scientist,Senior,5,Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,Hà Nội,Negotiable,"Công Nghệ Thông Tin, Tiếng Anh, Thanh Toán Thẻ, Phát Triển Sản Phẩm, Thanh Toán Điện Tử",Vietnamworks,
Chuyên Gia Phát Triển Dịch Vụ (API) - Khối Ngân Hàng Số - (Ho24.279),backend developer,Any Level,N/A,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Negotiable,"Tài chính Ngân hàng, Giải Pháp Công Nghệ, Tư Vấn Dịch Vụ, API, Thanh Toán Điện Tử",Vietnamworks,
Database Administrator,database administrator,Intermediate,3,TL Consulting VN Co. Ltd,Hồ Chí Minh,Negotiable,"Oracle Database Knowledge, DBA, Computer Hardware Troubleshooting, Software Troubleshooting, Computer Science",Vietnamworks,
Data Engineer Consultant,data engineer,Any Level,N/A,Chi Nhánh Công Ty TNHH KPMG,Hồ Chí Minh,Negotiable,"Data Architecture, Data analysis, Data Models, Data Mining, Big Data",Vietnamworks,
Nhân Viên IT,IT professional,Any Level,N/A,"Adtec Plasma Technology Vietnam Co., Ltd",Bắc Ninh,Negotiable,"Công Nghệ Thông Tin, Microsoft Office 365, Python, C#, ASP.NET",Vietnamworks,
Chuyên Viên IT,IT professional,Any Level,N/A,"Trường Quản Trị Và Kinh Doanh, ĐHQGHN",Hà Nội,Negotiable,"IT System Administration, IT Helpdesk, IT Administration, Helpdesk, Công Nghệ Thông Tin",Vietnamworks,
"(JP-86) Thiết Kế Hệ Thống, Phát Triển Chương Trình",data engineer,Junior,2,Công Ty TNHH R Techno Việt Nam,Hồ Chí Minh,$2275.00-2600.00,"Phát Triển Dự Án, SQL Server, SQL Server, Thiết Kế Hệ Thống, Tiếng Nhật, VB.NET",Vietnamworks,
End User Technology Specialist,IT professional,Senior,5,RMIT University Vietnam,Hồ Chí Minh,$1347.51,"Customer Service, End User Support, Hệ Thống Active Directory, IT Service Management, Microsoft Office 365",Vietnamworks,
Chuyên Viên Quản Trị Hệ Thống và Bảo Mật,system administrator,Junior,2,Hyundai Thành Công Việt Nam (Hyundai.thanhcong.vn),Hà Nội,Negotiable,"Hệ Thống Mạng, Bảo Mật Dữ Liệu, Giải Pháp Công Nghệ, Điện Tử Viễn Thông, VMware",Vietnamworks,
Chuyên Viên Quản Trị Cơ Sở Dữ Liệu (DBA),database administrator,Any Level,N/A,Ngân Hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),Hồ Chí Minh,$1000.00-2000.00,"SLA Control, Công nghệ thông tin, Quản Trị Hệ Thống CNTT",Vietnamworks,
Bridge Project Manager (BPM),project manager,Junior,2,Vitalify Asia,Hồ Chí Minh,$2500.00,"Project Management, Japanese N2, DevOps, Kaizen",Vietnamworks,
"(Night shift) Implementation Specialist (EDI, ERP, SAP, Supply chain)",data scientist,Junior,1,"Truecommerce Vietnam Company, Limited",Hồ Chí Minh,Negotiable,"business analyst, Client Service, Customer Service Training, Project Management, Service Implementation",Vietnamworks,
BrSE (in Vietnam or Japan),data scientist,Intermediate,3,Hitachi Digital Services,Hồ Chí Minh,Negotiable,"Japanese Speaking, BrSE, Software Development Life Cycle (SDLC), Agile, English",Vietnamworks,
Project Manager,project manager,Senior,5,Mirae Asset Finance Company (Viet Nam) Ltd.,Hồ Chí Minh,Negotiable,"Quản Lý Dự Án, Project Management, IT Project Management, Core Banking Development",Vietnamworks,
Business Intelligence Analyst,business intelligence analyst,Junior,2,"TrueCommerce Dicentral Vietnam Company, Limited",Hồ Chí Minh,Negotiable,"Data Analytics, Data Visualization, English, Power Automate, PowerBI, PowerBI",Vietnamworks,
Database Developer,software developer,Senior,5,Công Ty TNHH ActsOne Việt Nam,Hồ Chí Minh,Negotiable,"Database Technology, Mysql, MongoDB, Lập Trình, Sql Queries",Vietnamworks,
Senior .NET Engineer (Windows Application),software engineer,Senior,3,Koidra,Hồ Chí Minh,Negotiable,"C#, Application Development, WPF, NUnit, Analytical Skills",Vietnamworks,
Chuyên Viên Kiểm Thử Phần Mềm,embedded systems engineer,Any Level,N/A,Công Ty Chứng Khoán Yuanta Việt Nam,Hồ Chí Minh,$81.63-897.96,"Viết Test Case, Kiểm Thử Phần Mềm, Chứng khoán, Quản lý chất lượng, Test",Vietnamworks,
Game Tester,game developer,Junior,1,Athena Studio,Hồ Chí Minh,$400.00-500.00,"Qa/Qc/Testing Experience, Bug Report Writing, Test Case Writing, Agile Methodology, Game Testing",Vietnamworks,
Information Service (IS) Engineer,software engineer,Junior,1,"TRIPOD VIETNAM (BIENHOA) ELECTRONIC CO., LTD.",Đồng Nai,Negotiable,"Network Administration, CCNA, Cyber Security, Firewall, Linux",Vietnamworks,
Senior Data Analyst,data analyst,Senior,1,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"Python, SQL, Data Analysis, ETL, Computer Science",Vietnamworks,
Manual Tester,QA engineer,Junior,2,FPT Software,"Hồ Chí Minh, Hà Nội, Đà Nẵng",Negotiable,"Manual Testing, API Testing, SQL, Test execution, Postman",Vietnamworks,
Senior QC Engineer,software engineer,Senior,5,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Hà Nội,Negotiable,"AWS Cloud, CI/CD, English, Quality Assurance",Vietnamworks,
Regional Information Security Officer for Viet Nam and Laos,IT professional,Senior,5,The Deutsche Gesellschaft Für Internationale Zusammenarbeit (Giz),Hà nội,Negotiable,"English, Information security, ISO, Risk Management, System Management",Vietnamworks,
IT Server Engineer,software engineer,Junior,2,Navigos Search's Client,Hà nội,$816.33-1428.57,"English Communication, Linux System Administration, Server Management, VMware, Windows Server",Vietnamworks,
Embedded Test Lead (Joining Bonus),embedded systems engineer,Lead/Expert,5,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Analytical skills, English communication, Embedded Test Lead, Automation system test, SW process test",Vietnamworks,
Join The Ocean Villas As A IT Officer,IT professional,Junior,2,The Ocean Villas At The Ocean Resort,Hồ Chí Minh,Negotiable,"System Administration, SQL Server, Technical Management, Windows Server, Backup",Vietnamworks,
"Back-end Developers (.Net Core, C#)",backend developer,Junior,1,Công Ty TNHH GVI HCM,Hồ Chí Minh,$1000.00-2000.00,".Net Core, C#, Entity Framework, Troubleshooting, Asp.Net Web Api",Vietnamworks,
Business Analyst - Khối Dữ Liệu (Ho24.296),business analyst,Intermediate,3,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Negotiable,"Business analysis, Công Nghệ Thông Tin, Oracle, SQL",Vietnamworks,
Engineering Manager,software engineer,Any Level,N/A,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Hà Nội,Negotiable,"Cloud Technologies, Project Management, Software Development, Agile, Product Development",Vietnamworks,
MIS Engineer - Kỹ Sư Công Nghệ Thông Tin (Work In Phu Yen),software engineer,Intermediate,3,CCIPY Vietnam,Hồ Chí Minh,Negotiable,"Wireless Network, ADSL, LAN, Cài Đặt Phần Mềm, Bảo Trì",Vietnamworks,
Business Analyst (Membership Program Builder),business analyst,Intermediate,3,TPF Group,Hồ Chí Minh,Negotiable,"E-commerce, Data Structure, English fluency, Business analysis, System Integration",Vietnamworks,
IT Application Support Senior/ Leader (IT Hỗ Trợ Phần Mềm),IT professional,Senior,3,Công Ty Cổ Phần Tập Đoàn Golden Gate,Hà Nội,Negotiable,"SQL, Application Support, MySQL Server, IT Support, IT Software",Vietnamworks,
Chuyên Viên Cao Cấp Vận Hành Ứng Dụng Công Nghệ Thông Tin,data scientist,Intermediate,4,Công Ty Cổ Phần Chứng Khoán Vndirect,"Hà Nội, Hồ Chí Minh",Negotiable,"IT System Administration, Công Nghệ Thông Tin, Tài Chính Ngân Hàng, Tiếng Anh",Vietnamworks,
Senior Front End Developer (Web and Mobile),frontend developer,Senior,N/A,Arctx Solution LLC,Hồ Chí Minh,Negotiable,"JavaScript, React Native, ReactJs, Redux, Angular",Vietnamworks,
Trưởng Phòng Cấp Cao Cơ Sở Hạ Tầng CNTT/ IT Infrastructure Senior Manager,IT professional,Senior,10,Công Ty TNHH TM DV Tân Hiệp Phát,Bình Dương,Negotiable,"Infrastructure Management, Risk Management, Cloud Infrastructure, Security, Infrastructure Security",Vietnamworks,
Product Analyst,data scientist,Intermediate,3,Vinhms,Hồ Chí Minh,Negotiable,"Product Analyst, Critical Thinking, Communication Skills, business analyst, Product Application",Vietnamworks,
