Job Title,Role,Level,Company,Years of Experience,Location,Salary Range,Required Skills,Source Platform
Nhân Viên IT,IT professional,Junior,"Sumitomo Electric Interconnect Products (Vietnam), Ltd. [Sepv]",1,Bắc Ninh,$400.00-700.00,"Windows, LINUX, LAN, Software Installation, Data Backup",Vietnamworks
Kỹ Sư Công Nghệ Thông Tin,Data Scientist,Junior,Công Ty CP Tư Vấn Và Dịch Vụ Viettel,1,Hà Nội,$600.00-850.00,"Auto CAD, Công nghệ thông tin, Tư Vấn Giải Pháp, Triển Khai Hồ Sơ Thầu, Giám Sát Hệ Thống Mạng",Vietnamworks
Chuyên Viên An Ninh Bảo Mật,Data Scientist,Junior,Công ty Cổ phần Chứng khoán Bảo Việt,1,Hà Nội,$700.00-1200.00,"An Toàn Thông Tin, Quản Lý Rủi Ro, An Ninh Mạng, CEH, IDS/IPS",Vietnamworks
Project Marketing Department,Data Scientist,Intermediate,Công Ty TNHH Công Nghệ T3 (VIỆT NAM),3,Hà Nội,$1000.00-1500.00,"Presales Technical, Teamwork, Technical Documentation, Telecom Network Design, Telecom Support",Vietnamworks
Information Systems Staff/ Senior Staff/ Supervisor,Backend Developer,Senior,"Sumi Vietnam Wiring Systems Ltd, Company",N/A,Hồ Chí Minh,$348.00-1036.00,"English, User Support, Winforms, ASP.NET, Systems Development",Vietnamworks
"SAP FICO Senior Consultant (Mandarin Speaking, AMS Project)",SAP Consultant,Senior,Deloitte Consulting SEA,5,Hồ Chí Minh,Thương lượng,"SAP S/4HANA, ERP System, Analytical Thinking, SAP FICO, Bilingual In English and Mandarin",Vietnamworks
Senior R&D Frontend Engineer,Frontend Developer,Senior,Sparx* - A Virtuos Company,3,Hồ Chí Minh,Thương lượng,"Analytical Skills, Cloud Infrastructure, CSS, HTML, VueJS, VueJS",Vietnamworks
Software Engineer,Software Engineer,Any Level,MCGAAW,N/A,Hồ Chí Minh,Thương lượng,"Ionic, Angular, Angular, Angular, Ionic, Ionic, Android, JSON, TypeScript",Vietnamworks
"Senior Officer, Corporate & Investment Banking Technology",Business Analyst,Senior,Standard Chartered Bank,1,N/A,Thương lượng,"Data Management, DevOps, Programning Languages, Project Management, System Administration",Vietnamworks
AI Engineer,software engineer,Junior,Công Ty Cổ Phần FPT,1,Hà Nội,Thương lượng,"Business Model Design, Cloud Platform, Digital Image Processing, Machine Learning, Python",Vietnamworks
Senior Java Developer,Software Developer,Senior,Hitachi Digital Services,3,Hồ Chí Minh,Thương lượng,"Java Spring Framework, Spring Boot, RESTful API, Agile, AWS",Vietnamworks
SAP Logistic Consultant (Module MM / PP / SD) - Lương Thưởng Hấp Dẫn Tới $1800,SAP Consultant,Intermediate,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),3,Hà Nội,$1800.00,"Công Nghệ Thông Tin, IT Solutions Delivery, Sap, SAP FICO, Project Management",Vietnamworks
NodeJS Developer (Back-end),Backend Developer,Junior,IIG Việt Nam,2,Hà Nội,$1000.00-1400.00,"NodeJS, RESTful API, IT Phần Mềm, NextJs",Vietnamworks
Technical/ Solution Architect,Solutions Architect,Senior,Hitachi Digital Services,6,Hồ Chí Minh,Thương lượng,"Object Oriented Design, Project Management, Relational Database Design, Software Development, Fluent In English",Vietnamworks
Blockchain Engineer (Full-Stack Dapp Development),Full-stack Developer,Any Level,Stimulai,N/A,N/A,Thương lượng,"Blockchain, Dapp development, Smart Contract Development, English fluency",Vietnamworks
Chuyên Viên Công Nghệ Thông Tin,Data Scientist,Junior,Công Ty Cổ Phần Chứng Khoán Everest,1,Hà Nội,$500.00-700.00,"Cobit, Cyber Security, ISO 27001, NIST, Tiếng Anh",Vietnamworks
IT Support Team-Lead,IT Support,Lead/Expert,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,2,Hà Nội,Thương lượng,"Information Technology, Computer Science, Leadership, AWS, Infrastructure Management",Vietnamworks
Senior .NET Developer (Backend),Backend Developer,Senior,IIG Việt Nam,3,Hà Nội,$600.00-1000.00,".Net Core, C#, Software Development Tools",Vietnamworks
Nhân Viên Vận Hành Ứng Dụng,Data Scientist,Junior,Công Ty Cổ Phần Traphaco,1,Hà Nội,$571.43,"Quản Trị Cơ Sở Dữ Liệu, Manage ERP Software, Dms, E-Office, Triển Khai Dự Án",Vietnamworks
IT Manager,IT professional,Lead/Expert,Công Ty Cổ Phần Thương Mại Dạ Hợp,3,Hồ Chí Minh,Thương lượng,"IT Software, IT Phần Mềm, IT Administration, IT Project Management, IT Operations",Vietnamworks
Game Tester,Game Developer,Junior,Athena Studio,1,Hồ Chí Minh,$400.00-500.00,"Qa/Qc/Testing Experience, Bug Report Writing, Test Case Writing, Agile Methodology, Game Testing",Vietnamworks
Solution Architect SA / Technical Manager ( Banking / Fintech ),Solutions Architect,Lead/Expert,GTV VIETNAM,4,N/A,Thương lượng,"Solution Architecture, AWS Cloud, AWS Cloud, Banking Software, English, Strategy Implementation",Vietnamworks
CVCC Hệ Thống Máy Chủ,Database Administrator,Junior,Công Ty Cổ Phần Tập Đoàn Sunshine,2,Hà Nội,Thương lượng,"Quản Trị Hệ Thống, Vận Hành Phụ Tùng, Database Software, OpenStack, Phân Tích Tư Duy",Vietnamworks
"Python Dev (Treasury, English)",Data Scientist,Intermediate,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),3,Hồ Chí Minh,Thương lượng,"Python, SQL, Treasury, English",Vietnamworks
(103 JP) Kỹ Sư Thiết Kế Mạch Điện,Data Scientist,Junior,Công Ty TNHH R Techno Việt Nam,2,Hồ Chí Minh,$2653.06-2734.69,"OrCAD, Thiết Kế Digital, Thiết Kế Mạch Điện, Tối Ưu Hóa Thiết Kế",Vietnamworks
Software Quality Manager,IT professional,Lead/Expert,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,8,Hà Nội,$2448.98,"Agile Methodologies, Communication Skills, Leadership Ability, Quality Assurance, Test Automation Tools",Vietnamworks
"IT Advisory Assistant, Technology Enablement",IT professional,Any Level,Chi Nhánh Công Ty TNHH KPMG,N/A,Hồ Chí Minh,Thương lượng,"Analytical Thinking, Customer Service Oriented, Interpersonal Skills, Manage ERP Software, Technical Specification Analysis",Vietnamworks
BrSE (in Vietnam or Japan),Data Scientist,Intermediate,Hitachi Digital Services,3,Hồ Chí Minh,Thương lượng,"Japanese Speaking, Software Development Life Cycle (SDLC), Agile, English",Vietnamworks
Document Support Engineer,software engineer,Junior,Ascenx Technologies (Vietnam),1,Hồ Chí Minh,Thương lượng,"Electrical Engineering, Engineering, Quality Management, Technical Understanding, Eco Documentation",Vietnamworks
IT Coordinator (Identity & Access Management) - Work At Ho Chi Minh City,IT professional,Intermediate,Công Ty TNHH Summit Polymers Vietnam,3,Hồ Chí Minh,Thương lượng,"English communication, IT Administration, IT Infrastructure Management, IT Phần Cứng, IT Phần Mềm",Vietnamworks
Kỹ Sư Quản Lý Chất Lượng (Tiếng Trung),Data Scientist,Senior,Navigos Search,5,"Hà Nội, Hồ Chí Minh",$1500.00-2000.00,"Thành Thạo Tiếng Lào, Kỹ năng giao tiêp, 5w2h, 7 QC Tools, FMEA",Vietnamworks
Business Analyst (Chinese) - Signing Bonus 20M,Business Analyst,Any Level,FPT Software,N/A,"Hồ Chí Minh, Hà Nội, Đà Nẵng",Thương lượng,"Figma, Miro, UML, Business analysis, Database",Vietnamworks
[ HO ] IT Helpdesk - Relation Manager,IT Support,Lead/Expert,Shinhan Bank Vietnam,1,Hồ Chí Minh,Thương lượng,"CCNA, Effective Communication, IP Network, MCSA, MS Hyper-V",Vietnamworks
.NET Developer,Software Developer,Intermediate,Công Ty Cổ Phần Hblab,3,Hà Nội,$1500.00-2000.00,".NET, Docker, Docker Compose, xUnit, NUnit",Vietnamworks
Trưởng Phòng Phát Triển Sản Phẩm Số,Data Scientist,Senior,Công Ty Cổ Phần Viễn Thông Di Động Đông Dương Telecom,5,Hà Nội,$2000.00-2500.00,"Marketing Management, Truyền Thông, Marketing Campaign, Phát Triển Sản Phẩm, Digital",Vietnamworks
"Bridge System Engineer (Brse, Japanese N1/n2) - Upto $2000",Systems Engineer,Intermediate,TPS Software,3,Hồ Chí Minh,$700.00-2000.00,"Japanese N2, Software Process Development, Technical Specification Analysis, Kỹ Sư Cầu Nối",Vietnamworks
Trưởng Nhóm Quản Lý Hệ Thống và Hạ Tầng CNTT,System Administrator,Senior,Bệnh Viện Mắt Quốc Tế Việt - Nga,5,Hà Nội,Thương lượng,"Firewall, Bảo Mật Dữ Liệu, Windows Server, Linux, Infrastructure Management",Vietnamworks
Product Manager (Global Market),Business Analyst,Lead/Expert,MISA Jointstock Company,1,Hà Nội,$2500.00,"Tiếng Anh, Client Business Analysis, Market Research, Presentation Skills, Product Development",Vietnamworks
"Senior Executive, Project Management, Securities",IT professional,Senior,Công Ty Cổ Phần Dịch Vụ Di Động Trực Tuyến (Ví MoMo),2,Hồ Chí Minh,Thương lượng,"Giao Tiếp, Làm Việc Nhóm, Phân Tích Da, Tư Duy Logic, Trình Bày",Vietnamworks
Kỹ Thuật Viên,Data Scientist,Junior,Công Ty Cổ Phần Viễn Thông FPT,1,Hà Nội,$612.24-816.33,"Bảo Trì, Cơ Điện Tử, Công Nghệ Thông Tin, Điện Tử, Điện Tử Viễn Thông",Vietnamworks
Web Developer .NET,Software Developer,Junior,Thư Viện Pháp Luật,1,Hồ Chí Minh,$800.00-1500.00,"Lập Trình, .NET Core 2.0, AngularJS, Bất động sản, Tuyển Dụng",Vietnamworks
Graduate Analyst Program - Oracle (IT) - 17 Feb 2025 Intake,IT professional,Any Level,Deloitte Consulting SEA,N/A,Hồ Chí Minh,Thương lượng,"Computer Science, Information Technology, Back End Developer, database management, Database SQL Server",Vietnamworks
Senior .NET Developer,Software Developer,Senior,Capgemini Vietnam,5,Hồ Chí Minh,Thương lượng,"Web API, Azure, .Net, C#, OOP",Vietnamworks
"Kỹ Sư Lập Trình C++, Golang",Embedded Systems Engineer,Junior,Công Ty TNHH Công Nghệ Dicom,1,Hà Nội,Thương lượng,"Golang, C++, Ubuntu, OOP, Jira",Vietnamworks
"Chương Trình Đào Tạo IT Fresher - The Rookie to Engineer Batch 8 (.NET, Java, Python, Automation Test) - Up To 17M",Business Analyst,Fresher,NashTech,N/A,Hồ Chí Minh,Thương lượng,"Automation Testing, Python, Java, .NET, English Communication",Vietnamworks
Koh Young - Software Engineer,Software Engineer,Intermediate,Công Ty TNHH Koh Young Việt Nam,3,Hà Nội,Thương lượng,"C#, VB.NET, .Net, SQL, Application Development",Vietnamworks
Senior Devops Engineer,DevOps Engineer,Senior,IIG Việt Nam,5,Hà Nội,$1000.00-1500.00,"DevOps, Devops Tools",Vietnamworks
(HN/HCM) Data Scientist/senior Data Scientist,Data Scientist,Senior,Navigos Search's Client,3,Hà Nội,$2500.00-3000.00,"Agile Methodologies, Data Analysis, Deep Learning, Deep Learning, Deep Learning, Machine Learning, Statistical Modeling",Vietnamworks
Salesforce Specialist,Data Scientist,Intermediate,Netcompany,4,Hồ Chí Minh,Thương lượng,"Salesforce, Salesforce Development, Git, Phát triển Salesforce",Vietnamworks
Business Analyst,Business Analyst,Intermediate,Thư Viện Pháp Luật,3,Hồ Chí Minh,$700.00-1000.00,"Lập Trình HTML, Quản Lý Điều Phối Dự Án, .NET, SQL Server",Vietnamworks
ICT Support Technician - Entry Level,IT professional,Any Level,BIS,N/A,Hồ Chí Minh,Thương lượng,"IT System Administration, Network, IT Helpdesk, Technical Support",Vietnamworks
Chuyên Viên Nghiệp Vụ,Business Intelligence Analyst,Any Level,Công Ty Bảo Việt Tràng An,N/A,Hà Nội,$408.16-612.24,"Bảo Hiểm Phi Nhân Thọ, Business Analysis, Bảo Hiểm, Báo cáo dữ liệu, Thống Kê",Vietnamworks
SAP Senior Consultant - SAP PP/ QM (Production Planning and Quality Management) Module,IT professional,Senior,Deloitte Consulting SEA,N/A,Hồ Chí Minh,Thương lượng,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",Vietnamworks
Senior Technology Assurance - Hanoi Office,IT professional,Senior,Ernst & Young Vietnam Limited (EY Vietnam),3,"Hồ Chí Minh, Hà Nội",Thương lượng,"IT, ERP, Oracle, SQL Database, Audit",Vietnamworks
Nhân Viên IT Phần Cứng,IT professional,Intermediate,Công Ty TNHH TM DV Du Lịch Ánh Sao Thiên,3,Hồ Chí Minh,Thương lượng,"Cấu Trúc Máy Tính, Kỹ năng giao tiếp, Kỹ năng giao tiếp, Quản Lý Công Việc, Quản Trị Mạng, Trung Thực",Vietnamworks
Senior Data Analyst,Data Analyst,Senior,Công Ty Cổ Phần Kinh Doanh F88,3,Hà Nội,$900.00-1500.00,"Data Analytics, Oracle, AWS, Phân Tích Dữ Liệu, Tài Chính",Vietnamworks
Senior/ Expert Angular Developer,Software Developer,Senior/Lead/Expert,Techcombank,4,Hà Nội,$1000.00-2500.00,"Front End, Angular, TypeScript, JavaScript, HTML",Vietnamworks
Tập Sự Vận Hành Trung Tâm Vận Hành An Ninh Mạng (SOC),Data Scientist,Any Level,Công Ty Cổ Phần Chứng Khoán MB,N/A,Hà Nội,Thương lượng,"Securities, Tài chính Ngân hàng, An Toàn Thông Tin, SOC, Đánh Giá Rủi Ro",Vietnamworks
Senior Data Engineer,Data Engineer,Senior,Công Ty Cổ Phần Kite Metric,4,Hồ Chí Minh,$1200.00-2200.00,"Computer Science, Data Modeling, NodeJS, Python, SQL",Vietnamworks
[VN-83] Thiết Kế Và Phát Triển Hệ Thống,Backend Developer,Junior,Công Ty TNHH R Techno Việt Nam,1,Hồ Chí Minh,$1877.55,"C++, Phát Triển Ứng Dụng, Python, VB.NET, Xử Lý Ảnh",Vietnamworks
[Làm Việc Tại Hà Nội] Kỹ Sư Phát Triển Phần Mềm PHP Laravel,Backend Developer,Junior,Công Ty Cổ Phần Công Nghệ Và Phát Triển Quốc Tế Visky,2,Hà Nội,$600.00-1500.00,"PHP, VueJS, Laravel, SQL, English",Vietnamworks
Senior JAVA Developer,Software Developer,Senior,Techcombank,4,Hà Nội,Thương lượng,"Java, Software Development, DBMS, Git, Api Design",Vietnamworks
Associate - IT Risk Assurance,IT professional,Any Level,PwC (Vietnam) Ltd.,N/A,Hồ Chí Minh,Thương lượng,"Information Technology, IT Advisory, IT Auditing, Manage ERP Software, Risk Management",Vietnamworks
SAP ABAP Developer,Software Developer,Intermediate,Golden Gate Trade & Service JSC,4,Hà Nội,Thương lượng,"SAP, ABAP, SAP HANA, FICO, API",Vietnamworks
Backend Engineer,Backend Developer,Junior,Navigos Search,1,"Hà Nội, Hồ Chí Minh",$1500.00-1800.00,"C/C++ Programming, Computer Vision, Robotics, Python, Qt Framework",Vietnamworks
Fintech Innovation Product Manager,Product Manager,Lead/Expert,Vietpay Corporation,5,Hà Nội,$500.00-1500.00,"Digital Payment, Product Management, Project Management, UI/UX, Fintech",Vietnamworks
Senior Business Analyst Technical,Business Analyst,Senior,Công Ty Cổ Phần Sữa VitaDairy Việt Nam,3,"Hồ Chí Minh, Hà Nội",Thương lượng,"Kiểm Thử Tính Năng, Kỹ năng nắm bắt và giải quyết vấn đề, Làm Việc Nhóm, Mô Phỏng Phân Tích, Phân Tích Nghiệp Vụ",Vietnamworks
Fullstack Engineer,Full-stack Developer,Senior,Công Ty TNHH FPT Smart Cloud,5,Hà Nội,$1500.00-3000.00,"CSS3, MySQL, ReactJS, Python, JavaScript",Vietnamworks
Data Engineer At Soundlink,Data Engineer,Intermediate,Soundlink,3,N/A,$1500.00-2000.00,"Apache Hive, Apache Hive, BigQuery, Data Pipeline, Problem-solving, Python",Vietnamworks
Nhân Viên Hạ Tầng,System Administrator,Junior,Công Ty Cổ Phần Phân Phối Quốc Tế,1,Hồ Chí Minh,$150.00-500.00,"Hạ Tầng Mạng, VoIP, FreeSWITCH, CCNA, VMware",Vietnamworks
Experienced Automation Tester _ Freelancer (Location: Hà Nội),QA Engineer,Intermediate,Capgemini Vietnam,3,Hồ Chí Minh,Thương lượng,"Automation Testing, QA, QC, Software Testing, API Testing",Vietnamworks
Senior IT Officer,IT professional,Senior,PLF Law Firm,1,Hồ Chí Minh,Thương lượng,"CRM, Website Management, Seo, IT Operations, English",Vietnamworks
IT Support Coordinator,IT Support,Junior,Công Ty TNHH Dịch Vụ Zim Integrated Shipping (Việt Nam),2,Hồ Chí Minh,Thương lượng,"English, IT Support, Data Backup, Error Analysis, Hardware",Vietnamworks
Frontend Lead,Frontend Developer,Lead/Expert,SAPP Academy,3,Hà Nội,$1020.41-1346.94,"CSS3, HTML5, Leadership, NextJs, ReactJS",Vietnamworks
Quality Assurance (QA) - Khối Dữ Liệu (Ho24.333),QA Engineer,Junior,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,2,Hà Nội,Thương lượng,"CMMI, IT Software, QA Testing, Quản lý chất lượng, Quản Trị Phần Mềm",Vietnamworks
Senior User Experience Designer,UX/UI Designer,Senior,Công Ty TNHH Dịch Vụ Công Nghệ Tp,3,Hà Nội,$408.16-612.24,"Product Marketing, UX Design, Wireframe, Figma, Thiết Kế Trải Nghiệm Người Dùng",Vietnamworks
"Software Engineer - Continuous Integration Engineer (Git, Gerrit, Scripting Languages)",Software Engineer,Intermediate,LG Electronics R&D Vietnam,3,Hà Nội,$2200.00,"English, Git, Scripting, Docker, Jenkins",Vietnamworks
Microsoft Dynamics 365 Finance Functional Lead,Data Scientist,Lead/Expert,Chi Nhánh Công Ty TNHH KPMG,5,Hồ Chí Minh,Thương lượng,"Accounting, AX Development, Finance",Vietnamworks
Senior Full Stack Developer,Full-stack Developer,Senior,AMERICAN DREAM HOME GROUP LLC,5,Hồ Chí Minh,$1000.00-2000.00,".NET, C#, SQL Server, SQL Server, ASP.NET, NextJs",Vietnamworks
(HCM 104) Thiết Kế Điều Khiển Bay Cho Drone,Business Analyst,Junior,Công Ty TNHH R Techno Việt Nam,2,Hồ Chí Minh,Thương lượng,"Phát Triển Phần Mềm, Thiết Kế Mạch Điện, Tiếng Nhật, Điều Khiển Bay Cho Drone, Điều Khiển Dự Đoán Mô Hình",Vietnamworks
C/C++ Linux Software Engineer,Software Engineer,Any Level,LG Electronics Development Viet Nam Company Limited,N/A,"Hà Nội, Hà Nội",$1000.00-2500.00,"C/C++, Linux Embedded, Linux, Software Development, Software Engineering",Vietnamworks
IOS Developer,Mobile Developer,Junior,Công Ty Cổ Phần HDV Mobisoft,2,Hà Nội,$2000.00,"Swift, Objective-C, Java, Flutter, React",Vietnamworks
Nhân Viên QC,Data Scientist,Junior,Mizuno Viet Nam Company Limited,2,Hồ Chí Minh,Thương lượng,"Chinese Speaking, Computer Operating, English Speaking, QC Checking, Good Appearance",Vietnamworks
[Hồ Chí Minh] Security Specialist (big Digital Transformation project) - open to onboard after Tet,IT professional,Intermediate,Navigos Search's Client,3,Hà Nội,$1000.00-1400.00,"An Ninh Mạng, ISO 27001, IT Security GRC, Quản Lý Thông Tin, Chứng Chỉ Bảo Mật",Vietnamworks
Full Stack Developer,Full-stack Developer,Any Level,CÔNG TY TNHH CIGRO VIETNAM,N/A,N/A,Thương lượng,"English Communication, Node.js, PostgreSQL, ReactJS, Test Driven Development",Vietnamworks
Software Engineering Project Manager,Software Engineer,Lead/Expert,Concentrix,3,Hồ Chí Minh,$489.80-1632.65,"Agile Methodologies, Project Management, Software Engineering, E-commerce, Korean",Vietnamworks
"Oracle Financial Services Analytical Applications (Ofsaa) Consultant (Focus Pft, Alm, FTP or Ifrs9)",Database Administrator,Any Level,Chi Nhánh Công Ty TNHH KPMG,N/A,Hồ Chí Minh,Thương lượng,"IFRS, Oracle Financials, Asset Liability Management, Oracle Database, Risk Management",Vietnamworks
Lập Trình Viên,Backend Developer,Junior,Taixin Printing Vina,1,Bắc Ninh,$900.00-1500.00,"MS SQL, C#, ERP, Phát Triển Phần Mềm, Thiết Kế Phần Mềm",Vietnamworks
Trưởng Phòng Quản Lý Dự Án - Mảng Thiết Bị CNTT,Data Scientist,Any Level,Công Ty TNHH PNK,N/A,Hà Nội,$1500.00-2000.00,"Tiếng Anh thành thạo, Kỹ Năng Làm Việc- Quản Lý Nhóm",Vietnamworks
Chuyên Viên Triển Khai Phần Mềm,Data Scientist,Junior,1C Vietnam LLC,2,Hà Nội,Thương lượng,"Triển Khai Phần Mềm, Nghiên Cứu Phần Mềm, Kiểm Tra Phần Mềm, Hỗ trợ khách hàng, Tài Chính Doanh Nghiệp",Vietnamworks
Senior Solution Architect (.NET Core; React; Node.js),Solutions Architect,Senior,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,5,Hà Nội,Thương lượng,"AWS Cloud services, .NET Core, HTML5, DevOps, Leadership",Vietnamworks
IT Executive (Hanoi Head Office - 443),IT professional,Lead/Expert,"Aeon Mall Vietnam Co., Ltd",3,"Hà Nội, Hồ Chí Minh",$650.00-800.00,"Information Technology, Project Management, Infrastructure Security, Network, System Administration",Vietnamworks
Quality Assurance Engineer (Accept Fresher),QA Engineer,Fresher,HYUNDAI Kefico,N/A,Hải Dương,Thương lượng,"QA, QC, IQC, Quality assuance, Engineering",Vietnamworks
Data Scientist - Khối Dữ Liệu (HOLT.01),Data Scientist,Intermediate,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,3,Hà Nội,Thương lượng,"Data analysis, Java, Machine Learning, Python, Scala",Vietnamworks
Lập Trình Android Java Kotlin - Mobile App Developer,Mobile Developer,Intermediate,Công Ty Phần Mềm Tower Hanoi (Tohsoft),3,Hà Nội,$1000.00-1800.00,"Android, Android Studio, Kotlin, Java/Kotlin, Kotlin Android",Vietnamworks
IT Staff - Nhân Viên Công Nghệ Thông Tin,IT professional,Junior,Amata City Bien Hoa Joint Stock Company,2,Đồng Nai,Thương lượng,"IT System Administration, IT Operations, IT Hardware, IT Helpdesk, Technical Support",Vietnamworks
Phó Phòng - Phát Triển Ứng Dụng Ngân Hàng Điện Tử,Data Scientist,Senior,Ngân Hàng TMCP Phát Triển TP.HCM (HDBank),5,Hồ Chí Minh,Thương lượng,"Quản Lý Nhân Sự, Kỹ năng đàm phán, Kỹ năng tổ chức, Đánh Giá Hiệu Suất",Vietnamworks
AI Factory – Technical Support,IT Support,Junior,Công Ty TNHH FPT Smart Cloud,1,Hà Nội,Thương lượng,"Azure, Cloud Infrastructure, Customer Support, database management, Technical Support",Vietnamworks
IT Support/help Desk,IT Support,Any Level,Công Ty TNHH Canon Việt Nam,N/A,Hà Nội,$500.00-1000.00,"Lập Trình, IT Hardware",Vietnamworks
Kỹ Sư AI (AI Engineer),software engineer,Junior,Chicilon Media,2,Hồ Chí Minh,Thương lượng,"Machine Learning, Natural Processing Language, Computer Vision, Python, TensorFlow",Vietnamworks
[HN] Lập Trình Viên Python,Data Scientist,Intermediate,Công Ty Cổ Phần Synnex FPT,3,Hà Nội,Thương lượng,"AI, AI, Azure AI, Cloud, Lập Trình Python, Python (Tensorflow, Pytorch, Or Scikit-Learn)",Vietnamworks
Product Owner,Product Manager,Intermediate,ONE TECHNOLOGY SERVICE,3,Hồ Chí Minh,Thương lượng,"Product Management, Agile Development, Stakeholder Management, Critical Thinking, Communication",Vietnamworks
"C/C++ Software Engineer - Salary Up to 2,500$ Hybrid Working",Software Engineer,Any Level,LG Electronics Development Viet Nam Company Limited,N/A,Hà Nội,$700.00-2500.00,"C++, Automotive, HMI, MVC, OOAD",Vietnamworks
Mobile Developer (Flutter/ React Native/ Android/ iOS),Mobile Developer,Any Level,Công Ty Cổ Phần Phân Phối Quốc Tế,N/A,Hồ Chí Minh,Thương lượng,"React, Flutter, Android, OS System, API",Vietnamworks
"Hardware Design Engineer (Làm việc chủ yếu tại Nam Từ Liêm, Hà Nội)",software engineer,Intermediate,Công Ty TNHH Varroc Việt Nam,3,Hà Nội,Thương lượng,"System Design, PCB Layout Design, OrCAD, Altium, Altium, SMT",Vietnamworks
Software Development Manager,IT professional,Lead/Expert,Công Ty Cổ Phần Chứng Khoán SSI,6,Hà Nội,Thương lượng,"JavaScript, Node JS, Node JS, Project Management, Team Management",Vietnamworks
System Operation Team Leader,Tech Lead,Lead/Expert,Công Ty TNHH CJ Olivenetworks VINA,5,Hồ Chí Minh,$3000.00-5000.00,"Korean, English, Java, Oracle",Vietnamworks
Chuyên Viên Cao Cấp/ Chuyên Viên Phân Tích Dữ Liệu,Data Analyst,Junior,Công Ty Cổ Phần Bảo Hiểm Opes,2,Hà Nội,Thương lượng,"Data Analysis, Data Mining, Cơ Sở Dữ Liệu, SQL, An Ninh Thông Tin",Vietnamworks
"[Fresher] Lập Trình Viên Java (Einvoice, Econtract, CA)",Backend Developer,Fresher,Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),2,Hà Nội,Thương lượng,"Database Technology, Java System, Linux OS, Problem-solving, RESTful API",Vietnamworks
Master Data Staff,SAP Consultant,Any Level,Zuellig Pharma Viet Nam,N/A,Hồ Chí Minh,Thương lượng,"Master Data Management, SAP Master Data, Microsoft Office, SAP",Vietnamworks
Python Developer (Cloud & Automation Infrastructure),Software Developer,Any Level,Công Ty Cổ Phần Phân Phối Quốc Tế,N/A,Hồ Chí Minh,Thương lượng,"Python, CI/CD, Cloud, Ansible, Automation",Vietnamworks
Senior Project Manager,Project Manager,Senior/Lead/Expert,Công Ty Cổ Phần Tập Đoàn Golden Gate,2,Hà Nội,Thương lượng,"Project Management, Agile, Công nghệ thông tin, Chuyển đổi số, Delivery Management",Vietnamworks
Senior System Administrator,System Administrator,Senior,Netcompany,4,Hồ Chí Minh,Thương lượng,"Windows Server, Active Directory, SharePoint, SharePoint Administration",Vietnamworks
IT Administrator,IT professional,Junior,"First Trust ACPA Vietnam CO., LTD",1,Hà Nội,Thương lượng,"Interpersonal Skills, IT System Administration, Microsoft Office 365, Network Infrastructure, Network Technology",Vietnamworks
Giảng Viên Nghiên Cứu Viên Công Nghệ Thông Tin,Data Scientist,Any Level,Đại Học FPT TP.HCM,N/A,Hồ Chí Minh,Thương lượng,"Research, Khoa Học Máy Tính, IT Phần Mềm, Giáo Dục, Teaching Software",Vietnamworks
Software Security Engineer,Security Engineer,Any Level,LG Electronics Development Viet Nam Company Limited,N/A,Hà Nội,$1000.00-2200.00,"Security, Cybersecurity, Hardening, LINUX",Vietnamworks
"Business Analyst (Agile, SQL)",Business Analyst,Any Level,Techcom Securities (Tcbs),N/A,Hà Nội,$1000.00-2500.00,"Tài Chính Ngân Hàng, SQL, Business Analysis, Agile, VBA",Vietnamworks
IT Engineer,software engineer,Intermediate,CÔNG TY TNHH AMPHENOL COMMUNICATION ELECTRONICS VIỆT NAM,3,Bắc Ninh,Thương lượng,"Network Management, ERP Systems, Computer Hardware Troubleshooting, IT System Administration, Manufacturing Execution System",Vietnamworks
Full Stack Developer,Full-stack Developer,Any Level,Stimulai,N/A,N/A,$800.00-1500.00,"ReactJS, JavaScript, Full Stack Development",Vietnamworks
Product Manager - Generative AI for Enterprise Customer Operations,Product Manager,Lead/Expert,Trusting Social,8,Hồ Chí Minh,Thương lượng,"Product Management, Product Development, business analyst, product owner",Vietnamworks
Lập Trình Viên Phần Mềm ( Software Developer ),Software Developer,Junior,"Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd)",1,Hà Nội,Thương lượng,".NET, C#, jQuery, React, ReactJS",Vietnamworks
System Engineer,Systems Engineer,Junior,Skylab Innogram Vietnam LLC,2,Hồ Chí Minh,Thương lượng,"Linux System Administration, Infrastructure-As-Code, Bash, Python",Vietnamworks
AI Engineer,software engineer,Junior,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,2,Hà Nội,$800.00-1500.00,"AI, DevOps",Vietnamworks
